Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
324,BRKM5,Sell,27.11.2024 10:06:00,15.17,100.0,27.11.2024 15:30:01,14.8,5h 24m,37.0,4610.0,0.0,37.0,4610.0,3700.0,461000.0,0.12,15.86,,IS
84,GGBR4,Buy,28.11.2024 10:03:00,19.84,100.0,28.11.2024 11:13:40,20.19,1h 10m,35.0,4645.0,0.0,35.0,4645.0,3500.0,464500.0,0.11,15.97,tp 20.19,IS
202,CSAN3,Sell,28.11.2024 10:02:00,10.63,100.0,28.11.2024 11:25:40,10.28,1h 23m,35.0,4680.0,0.0,35.0,4680.0,3500.0,468000.0,0.11,16.08,tp 10.28,IS
204,CSAN3,Sell,28.11.2024 11:25:40,10.28,100.0,28.11.2024 12:34:40,9.93,1h 9m,35.0,4715.0,0.0,35.0,4715.0,3500.0,471500.0,0.11,16.19,tp 9.93,IS
46,TAEE11,Sell,28.11.2024 10:03:40,32.7,100.0,28.11.2024 15:30:00,32.52,5h 26m,18.0,4733.0,0.0,18.0,4733.0,1800.0,473300.0,0.06,16.25,,IS
156,SUZB3,Sell,28.11.2024 11:57:40,60.18,100.0,28.11.2024 15:30:00,60.01,3h 32m,17.0,4750.0,0.0,17.0,4750.0,1700.0,475000.0,0.05,16.3,,IS
206,CSAN3,Sell,28.11.2024 12:34:40,9.92,100.0,28.11.2024 15:30:00,10.1,2h 55m,-18.0,4732.0,0.0,-18.0,4732.0,-1800.0,473200.0,-0.06,16.24,,IS
326,BRKM5,Sell,28.11.2024 10:08:00,14.68,100.0,28.11.2024 15:30:00,14.56,5h 22m,12.0,4744.0,0.0,12.0,4744.0,1200.0,474400.0,0.04,16.28,,IS
186,UNIP6,Sell,28.11.2024 15:20:01,47.01,100.0,28.11.2024 15:30:30,46.93,10m 29s,8.0,4752.0,0.0,8.0,4752.0,800.0,475200.0,0.03,16.31,,IS
158,SUZB3,Sell,29.11.2024 10:03:00,60.24,100.0,29.11.2024 10:04:40,61.24,1m 40s,-100.0,4652.0,0.0,-100.0,4652.0,-10000.0,465200.0,-0.31,15.99,sl 61.24,IS
78,VALE3,Sell,29.11.2024 10:03:00,55.64,100.0,29.11.2024 11:32:40,56.14,1h 29m,-50.0,4602.0,0.0,-50.0,4602.0,-5000.0,460200.0,-0.16,15.83,sl 56.14,IS
328,BRKM5,Sell,29.11.2024 10:07:00,14.27,100.0,29.11.2024 11:55:40,14.77,1h 48m,-50.0,4552.0,0.0,-50.0,4552.0,-5000.0,455200.0,-0.16,15.68,sl 14.77,IS
54,EMBR3,Sell,29.11.2024 15:00:00,57.41,100.0,29.11.2024 15:30:00,57.45,30m 0s,-4.0,4548.0,0.0,-4.0,4548.0,-400.0,454800.0,-0.01,15.66,,IS
80,VALE3,Sell,29.11.2024 11:32:40,56.16,100.0,29.11.2024 15:30:00,56.23,3h 57m,-7.0,4541.0,0.0,-7.0,4541.0,-700.0,454100.0,-0.02,15.64,,IS
86,GGBR4,Buy,29.11.2024 10:07:00,19.98,100.0,29.11.2024 15:30:00,19.97,5h 23m,-1.0,4540.0,0.0,-1.0,4540.0,-100.0,454000.0,-0.0,15.64,,IS
160,SUZB3,Sell,29.11.2024 10:04:40,61.6,100.0,29.11.2024 15:30:00,60.55,5h 25m,105.0,4645.0,0.0,105.0,4645.0,10500.0,464500.0,0.33,15.97,,IS
208,CSAN3,Sell,29.11.2024 10:03:00,9.75,100.0,29.11.2024 15:30:00,9.97,5h 27m,-22.0,4623.0,0.0,-22.0,4623.0,-2200.0,462300.0,-0.07,15.9,,IS
330,BRKM5,Sell,29.11.2024 11:55:40,14.78,100.0,29.11.2024 15:30:00,14.95,3h 34m,-17.0,4606.0,0.0,-17.0,4606.0,-1700.0,460600.0,-0.05,15.85,,IS
88,GGBR4,Buy,02.12.2024 10:08:00,19.97,100.0,02.12.2024 15:30:00,20.08,5h 22m,11.0,4617.0,0.0,11.0,4617.0,1100.0,461700.0,0.03,15.88,,IS
162,SUZB3,Sell,02.12.2024 10:03:20,60.46,100.0,02.12.2024 15:30:00,60.02,5h 26m,44.0,4661.0,0.0,44.0,4661.0,4400.0,466100.0,0.14,16.02,,IS
210,CSAN3,Sell,02.12.2024 10:03:00,10.11,100.0,02.12.2024 15:30:00,10.01,5h 27m,10.0,4671.0,0.0,10.0,4671.0,1000.0,467100.0,0.03,16.05,,IS
332,BRKM5,Sell,02.12.2024 10:03:00,15.01,100.0,02.12.2024 15:30:01,15.33,5h 27m,-32.0,4639.0,0.0,-32.0,4639.0,-3200.0,463900.0,-0.1,15.95,,IS
164,SUZB3,Sell,03.12.2024 10:09:40,60.53,100.0,03.12.2024 12:11:40,61.53,2h 2m,-100.0,4539.0,0.0,-100.0,4539.0,-10000.0,453900.0,-0.32,15.64,sl 61.53,IS
70,ABEV3,Buy,03.12.2024 11:03:40,12.64,100.0,03.12.2024 15:30:00,12.93,4h 26m,29.0,4568.0,0.0,29.0,4568.0,2900.0,456800.0,0.09,15.73,,IS
166,SUZB3,Sell,03.12.2024 12:11:40,61.59,100.0,03.12.2024 15:30:00,61.47,3h 18m,12.0,4580.0,0.0,12.0,4580.0,1200.0,458000.0,0.04,15.77,,IS
212,CSAN3,Sell,03.12.2024 10:09:00,10.0,100.0,03.12.2024 15:30:00,9.89,5h 21m,11.0,4591.0,0.0,11.0,4591.0,1100.0,459100.0,0.03,15.8,,IS
334,BRKM5,Sell,03.12.2024 10:03:00,15.32,100.0,03.12.2024 15:30:00,15.38,5h 27m,-6.0,4585.0,0.0,-6.0,4585.0,-600.0,458500.0,-0.02,15.78,,IS
48,TAEE11,Sell,03.12.2024 10:01:00,33.01,100.0,03.12.2024 15:30:01,32.86,5h 29m,15.0,4600.0,0.0,15.0,4600.0,1500.0,460000.0,0.05,15.83,,IS
168,SUZB3,Sell,04.12.2024 10:03:00,62.48,100.0,04.12.2024 11:42:40,63.48,1h 39m,-100.0,4500.0,0.0,-100.0,4500.0,-10000.0,450000.0,-0.32,15.51,sl 63.48,IS
72,ABEV3,Buy,04.12.2024 10:08:00,12.98,100.0,04.12.2024 15:30:00,13.03,5h 22m,5.0,4505.0,0.0,5.0,4505.0,500.0,450500.0,0.02,15.53,,IS
90,GGBR4,Buy,04.12.2024 13:09:40,20.25,100.0,04.12.2024 15:30:00,20.45,2h 20m,20.0,4525.0,0.0,20.0,4525.0,2000.0,452500.0,0.06,15.59,,IS
120,BBAS3,Sell,04.12.2024 10:37:40,24.03,100.0,04.12.2024 15:30:00,24.22,4h 52m,-19.0,4506.0,0.0,-19.0,4506.0,-1900.0,450600.0,-0.06,15.53,,IS
170,SUZB3,Sell,04.12.2024 11:42:40,63.6,100.0,04.12.2024 15:30:00,62.95,3h 47m,65.0,4571.0,0.0,65.0,4571.0,6500.0,457100.0,0.21,15.74,,IS
214,CSAN3,Sell,04.12.2024 10:03:00,9.94,100.0,04.12.2024 15:30:00,9.77,5h 27m,17.0,4588.0,0.0,17.0,4588.0,1700.0,458800.0,0.05,15.79,,IS
336,BRKM5,Sell,04.12.2024 10:03:00,15.38,100.0,04.12.2024 15:30:00,15.31,5h 27m,7.0,4595.0,0.0,7.0,4595.0,700.0,459500.0,0.02,15.81,,IS
50,TAEE11,Sell,04.12.2024 10:03:00,32.77,100.0,04.12.2024 15:30:01,32.78,5h 27m,-1.0,4594.0,0.0,-1.0,4594.0,-100.0,459400.0,-0.0,15.81,,IS
74,ABEV3,Buy,05.12.2024 10:03:00,13.12,100.0,05.12.2024 11:47:40,13.47,1h 44m,35.0,4629.0,0.0,35.0,4629.0,3500.0,462900.0,0.11,15.92,tp 13.47,IS
52,TAEE11,Sell,05.12.2024 10:03:40,33.02,100.0,05.12.2024 15:30:00,33.16,5h 26m,-14.0,4615.0,0.0,-14.0,4615.0,-1400.0,461500.0,-0.04,15.88,,IS
56,EMBR3,Sell,05.12.2024 13:00:00,56.41,100.0,05.12.2024 15:30:00,56.24,2h 30m,17.0,4632.0,0.0,17.0,4632.0,1700.0,463200.0,0.05,15.93,,IS
76,ABEV3,Buy,05.12.2024 11:47:40,13.5,100.0,05.12.2024 15:30:00,13.4,3h 42m,-10.0,4622.0,0.0,-10.0,4622.0,-1000.0,462200.0,-0.03,15.9,,IS
92,GGBR4,Buy,05.12.2024 14:24:20,20.31,100.0,05.12.2024 15:30:00,20.53,1h 5m,22.0,4644.0,0.0,22.0,4644.0,2200.0,464400.0,0.07,15.97,,IS
172,SUZB3,Sell,05.12.2024 10:03:00,63.28,100.0,05.12.2024 15:30:00,62.91,5h 27m,37.0,4681.0,0.0,37.0,4681.0,3700.0,468100.0,0.12,16.09,,IS
216,CSAN3,Sell,05.12.2024 10:08:00,9.84,100.0,05.12.2024 15:30:00,9.83,5h 22m,1.0,4682.0,0.0,1.0,4682.0,100.0,468200.0,0.0,16.09,,IS
338,BRKM5,Sell,05.12.2024 10:03:00,15.5,100.0,05.12.2024 15:30:00,15.27,5h 27m,23.0,4705.0,0.0,23.0,4705.0,2300.0,470500.0,0.07,16.16,,IS
188,UNIP6,Sell,05.12.2024 12:02:30,49.67,100.0,05.12.2024 15:32:00,49.61,3h 29m,6.0,4711.0,0.0,6.0,4711.0,600.0,471100.0,0.02,16.18,,IS
218,CSAN3,Sell,06.12.2024 10:03:00,9.77,100.0,06.12.2024 12:14:40,9.42,2h 11m,35.0,4746.0,0.0,35.0,4746.0,3500.0,474600.0,0.11,16.29,tp 9.42,IS
78,ABEV3,Buy,06.12.2024 10:03:00,13.36,100.0,06.12.2024 15:30:00,13.29,5h 27m,-7.0,4739.0,0.0,-7.0,4739.0,-700.0,473900.0,-0.02,16.27,,IS
94,GGBR4,Buy,06.12.2024 12:16:20,20.34,100.0,06.12.2024 15:30:00,20.34,3h 13m,0.0,4739.0,0.0,0.0,4739.0,0.0,473900.0,0.0,16.27,,IS
174,SUZB3,Sell,06.12.2024 10:01:00,63.36,100.0,06.12.2024 15:30:00,63.69,5h 29m,-33.0,4706.0,0.0,-33.0,4706.0,-3300.0,470600.0,-0.1,16.16,,IS
220,CSAN3,Sell,06.12.2024 12:14:40,9.42,100.0,06.12.2024 15:30:00,9.37,3h 15m,5.0,4711.0,0.0,5.0,4711.0,500.0,471100.0,0.02,16.18,,IS
